id,model,maxae,horizon,context,eta,dataset
6,Autoformer,,5,12,10,.
1,Autoformer,,5,12,10,.
5,Autoformer,,5,12,10,.
6,Autoformer,,5,24,10,.
1,Autoformer,,5,24,10,.
5,Autoformer,,5,24,10,.
7,NODE,220.0,2,12,10,.
7,ARIMA,539.0046228981437,2,12,10,.
7,XGBoost,235.15774536132812,2,12,10,.
7,NHITS,253.61831665039065,2,12,10,.
7,ETS,458.7501059291123,2,12,10,.
7,HBML (c),361.5740769488102,2,12,10,.
7,HBML (d),296.12353221104024,2,12,10,.
7,HBML (fd),539.0046228981437,2,12,10,.
7,HBML-SFH,220.0,2,12,10,.
7,HBML-SFHDF,220.0,2,12,10,.
7,NODE,220.0,2,full,10,.
7,ARIMA,333.3468662893247,2,full,10,.
7,XGBoost,235.10476684570312,2,full,10,.
7,NHITS,220.0,2,full,10,.
7,Autoformer,,2,full,10,.
3,Autoformer,,2,full,10,.
6,Autoformer,,2,full,10,.
1,Autoformer,,2,full,10,.
7,ETS,298.46691479086974,2,full,10,.
7,HBML (c),,2,full,10,.
7,HBML (d),,2,full,10,.
7,HBML (fd),,2,full,10,.
7,HBML-SFH,220.0,2,full,10,.
7,HBML-SFHDF,220.0,2,full,10,.
7,NODE,220.0,2,24,10,.
7,ARIMA,220.0,2,24,10,.
7,XGBoost,230.3299865722656,2,24,10,.
7,NHITS,220.0,2,24,10,.
7,Autoformer,,2,24,10,.
3,Autoformer,,2,24,10,.
9,Autoformer,,2,24,10,.
8,Autoformer,,2,24,10,.
2,Autoformer,,2,24,10,.
6,Autoformer,,2,24,10,.
1,Autoformer,,2,24,10,.
5,Autoformer,,2,24,10,.
7,ETS,220.0,2,24,10,.
7,HBML (c),,2,24,10,.
7,HBML (d),,2,24,10,.
7,HBML (fd),,2,24,10,.
7,HBML-SFH,220.0,2,24,10,.
7,HBML-SFHDF,220.0,2,24,10,.
7,NODE,220.0,2,6,10,.
7,ARIMA,886.8561466471624,2,6,10,.
7,XGBoost,250.57061004638672,2,6,10,.
7,NHITS,376.408935546875,2,6,10,.
7,ETS,422.39230347408306,2,6,10,.
7,HBML (c),404.9829434792611,2,6,10,.
7,HBML (d),442.0,2,6,10,.
7,HBML (fd),886.8561466471624,2,6,10,.
7,HBML-SFH,220.00000000000003,2,6,10,.
7,HBML-SFHDF,220.0,2,6,10,.
7,Autoformer,,2,6,10,.
3,Autoformer,,2,6,10,.
9,Autoformer,,2,6,10,.
8,Autoformer,,2,6,10,.
2,Autoformer,,2,6,10,.
6,Autoformer,,2,6,10,.
1,Autoformer,,2,6,10,.
5,Autoformer,,2,6,10,.
7,NODE,108.29515075683592,half,12,10,.
7,ARIMA,187.44525616376268,half,12,10,.
7,XGBoost,150.50808715820312,half,12,10,.
7,NHITS,135.3436279296875,half,12,10,.
7,Autoformer,,half,12,10,.
3,Autoformer,,half,12,10,.
9,Autoformer,,half,12,10,.
6,Autoformer,,half,12,10,.
1,Autoformer,,half,12,10,.
7,ETS,185.42127088900776,half,12,10,.
7,HBML (c),,half,12,10,.
7,HBML (d),,half,12,10,.
7,HBML (fd),,half,12,10,.
7,HBML-SFH,233.99789558348647,half,12,10,.
7,HBML-SFHDF,114.2082281656358,half,12,10,.
7,NODE,108.38723754882812,half,full,10,.
7,ARIMA,170.09717208057356,half,full,10,.
7,XGBoost,152.53860473632812,half,full,10,.
7,NHITS,135.69363403320312,half,full,10,.
7,Autoformer,,half,full,10,.
3,Autoformer,,half,full,10,.
9,Autoformer,,half,full,10,.
6,Autoformer,,half,full,10,.
1,Autoformer,,half,full,10,.
7,ETS,185.42123177010387,half,full,10,.
7,HBML (c),,half,full,10,.
7,HBML (d),,half,full,10,.
7,HBML (fd),,half,full,10,.
7,HBML-SFH,112.57866158805936,half,full,10,.
7,HBML-SFHDF,112.07286816425956,half,full,10,.
7,NODE,108.87547302246097,half,24,10,.
7,ARIMA,186.84808821427129,half,24,10,.
7,XGBoost,146.42111206054688,half,24,10,.
7,NHITS,138.2631378173828,half,24,10,.
7,Autoformer,,half,24,10,.
3,Autoformer,,half,24,10,.
9,Autoformer,,half,24,10,.
6,Autoformer,,half,24,10,.
1,Autoformer,,half,24,10,.
7,ETS,185.4212707459768,half,24,10,.
7,HBML (c),,half,24,10,.
7,HBML (d),,half,24,10,.
7,HBML (fd),,half,24,10,.
7,HBML-SFH,55885.18165419301,half,24,10,.
7,HBML-SFHDF,4617.599676758216,half,24,10,.
7,NODE,108.37286376953124,half,6,10,.
7,ARIMA,190.7061400126576,half,6,10,.
7,XGBoost,148.91664123535156,half,6,10,.
7,NHITS,137.7399139404297,half,6,10,.
7,Autoformer,,half,6,10,.
3,Autoformer,,half,6,10,.
9,Autoformer,,half,6,10,.
6,Autoformer,,half,6,10,.
1,Autoformer,,half,6,10,.
7,ETS,225.3484406112377,half,6,10,.
7,HBML (c),,half,6,10,.
7,HBML (d),,half,6,10,.
7,HBML (fd),,half,6,10,.
7,HBML-SFH,127.91721030742538,half,6,10,.
7,HBML-SFHDF,120.46299157116938,half,6,10,.
4,NODE,120.0,5,12,10,.
10,NODE,149.0,5,12,10,.
3,NODE,117.0,5,12,10,.
9,NODE,145.0,5,12,10,.
8,NODE,123.0,5,12,10,.
2,NODE,122.0,5,12,10,.
6,NODE,118.0,5,12,10,.
11,NODE,131.0,5,12,10,.
1,NODE,128.0,5,12,10,.
5,NODE,161.0,5,12,10,.
4,ARIMA,387.5175273002296,5,12,10,.
10,ARIMA,149.0,5,12,10,.
3,ARIMA,2503.6499478136557,5,12,10,.
9,ARIMA,546.1547477414138,5,12,10,.
8,ARIMA,1229.8390301687764,5,12,10,.
2,ARIMA,667.6849923200296,5,12,10,.
6,ARIMA,784.9264397417608,5,12,10,.
11,ARIMA,919.1417955881695,5,12,10,.
1,ARIMA,173.51805182940535,5,12,10,.
5,ARIMA,1386.367043755338,5,12,10,.
4,XGBoost,120.0,5,12,10,.
10,XGBoost,149.0,5,12,10,.
3,XGBoost,175.9822540283203,5,12,10,.
9,XGBoost,145.0,5,12,10,.
8,XGBoost,133.66139221191406,5,12,10,.
2,XGBoost,122.0,5,12,10,.
6,XGBoost,118.0,5,12,10,.
11,XGBoost,131.0,5,12,10,.
1,XGBoost,128.0,5,12,10,.
5,XGBoost,161.0,5,12,10,.
4,NHITS,120.0,5,12,10,.
10,NHITS,149.0,5,12,10,.
3,NHITS,165.77371215820312,5,12,10,.
9,NHITS,200.91622924804688,5,12,10,.
8,NHITS,137.699312210083,5,12,10,.
2,NHITS,122.0,5,12,10,.
6,NHITS,118.0,5,12,10,.
11,NHITS,131.0,5,12,10,.
1,NHITS,128.0,5,12,10,.
5,NHITS,392.95599365234375,5,12,10,.
4,ETS,287.3719889734849,5,12,10,.
10,ETS,557.4800992941721,5,12,10,.
3,ETS,994.7922160750596,5,12,10,.
9,ETS,626.404255486948,5,12,10,.
