Report_Index,Category,Count,Total_s,Mean_s,Std_Dev_s
1,Expert Forecasting: AutoARIMA,2594,1.0747,0.0004,0.0001
1,Expert Forecasting: AutoETS,2594,0.1336,0.0001,0.0
1,Expert Forecasting: Autoformer,2594,727.3381,0.2804,0.0617
1,Expert Forecasting: NHITS,2594,499.7783,0.1927,0.0527
1,Expert Forecasting: NODE,2594,136.3518,0.0526,0.0066
1,Expert Forecasting: XGBoost,2594,5.6361,0.0022,0.0011
1,Expert Training: AutoARIMA,2594,1153.0768,0.4445,0.2813
1,Expert Training: AutoETS,2594,70.901,0.0273,0.0077
1,Expert Training: Autoformer,2594,149515.7689,57.6391,0.8643
1,Expert Training: NHITS,2594,9818.3324,3.785,0.3196
1,Expert Training: NODE,2594,994.1285,0.3832,8.1964
1,Expert Training: XGBoost,2594,103.7136,0.04,0.1155
2,Expert Forecasting: AutoARIMA,4337,1.7848,0.0004,0.0
2,Expert Forecasting: AutoETS,4337,0.2211,0.0001,0.0
2,Expert Forecasting: Autoformer,4337,1376.5178,0.3174,0.0767
2,Expert Forecasting: NHITS,4337,1003.3073,0.2313,0.0695
2,Expert Forecasting: NODE,4337,227.6037,0.0525,0.0064
2,Expert Forecasting: XGBoost,4337,9.4867,0.0022,0.0013
2,Expert Training: AutoARIMA,4337,2108.1206,0.4861,0.2877
2,Expert Training: AutoETS,4337,120.2084,0.0277,0.0082
2,Expert Training: Autoformer,4337,249274.2137,57.4762,0.8566
2,Expert Training: NHITS,4337,16415.3372,3.785,0.3336
2,Expert Training: NODE,4337,1399.243,0.3226,6.3388
2,Expert Training: XGBoost,4337,170.048,0.0392,0.0894
3,Expert Forecasting: AutoARIMA,7648,3.1275,0.0004,0.0
3,Expert Forecasting: AutoETS,7648,0.385,0.0001,0.0
3,Expert Forecasting: Autoformer,7648,2977.8966,0.3894,0.1143
3,Expert Forecasting: NHITS,7648,2335.2738,0.3053,0.1103
3,Expert Forecasting: NODE,7648,404.0639,0.0528,0.0066
3,Expert Forecasting: XGBoost,7648,17.0405,0.0022,0.0017
3,Expert Training: AutoARIMA,7648,3500.0667,0.4576,0.2686
3,Expert Training: AutoETS,7648,218.6717,0.0286,0.0078
3,Expert Training: Autoformer,7648,437283.179,57.1761,0.9229
3,Expert Training: NHITS,7648,29200.7137,3.8181,0.3536
3,Expert Training: NODE,7648,2189.7179,0.2863,4.7734
3,Expert Training: XGBoost,7648,301.3453,0.0394,0.0675
4,Expert Forecasting: AutoARIMA,10907,4.4455,0.0004,0.0
4,Expert Forecasting: AutoETS,10907,0.5471,0.0001,0.0
4,Expert Forecasting: Autoformer,10907,5043.0001,0.4624,0.1541
4,Expert Forecasting: NHITS,10907,4143.5068,0.3799,0.1526
4,Expert Forecasting: NODE,10907,579.5671,0.0531,0.0067
4,Expert Forecasting: XGBoost,10907,24.6026,0.0023,0.0016
4,Expert Training: AutoARIMA,10907,4975.0329,0.4561,0.2574
4,Expert Training: AutoETS,10907,310.5357,0.0285,0.0079
4,Expert Training: Autoformer,10907,620323.2952,56.8739,1.0478
4,Expert Training: NHITS,10907,42164.3072,3.8658,0.3879
4,Expert Training: NODE,10907,2997.8508,0.2749,3.9971
4,Expert Training: XGBoost,10907,432.7166,0.0397,0.0567
5,Expert Forecasting: AutoARIMA,14423,5.8737,0.0004,0.0
5,Expert Forecasting: AutoETS,14423,0.7191,0.0,0.0
5,Expert Forecasting: Autoformer,14423,7796.2403,0.5405,0.1969
5,Expert Forecasting: NHITS,14423,6631.5069,0.4598,0.1986
5,Expert Forecasting: NODE,14423,770.6878,0.0534,0.0067
5,Expert Forecasting: XGBoost,14423,32.6412,0.0023,0.0015
5,Expert Training: AutoARIMA,14423,6320.0234,0.4382,0.2599
5,Expert Training: AutoETS,14423,407.9137,0.0283,0.0081
5,Expert Training: Autoformer,14423,815573.4985,56.5467,1.2098
5,Expert Training: NHITS,14423,56574.4483,3.9225,0.4241
5,Expert Training: NODE,14423,3901.8979,0.2705,3.4759
5,Expert Training: XGBoost,14423,577.0536,0.04,0.0494
6,Expert Forecasting: AutoARIMA,18464,7.5289,0.0004,0.0
6,Expert Forecasting: AutoETS,18464,0.9239,0.0001,0.0
6,Expert Forecasting: Autoformer,18464,11651.0994,0.631,0.2496
6,Expert Forecasting: NHITS,18464,10171.5197,0.5509,0.2496
6,Expert Forecasting: NODE,18464,995.0002,0.0539,0.0068
6,Expert Forecasting: XGBoost,18464,42.2565,0.0023,0.0015
6,Expert Training: AutoARIMA,18464,7992.1229,0.4328,0.2578
6,Expert Training: AutoETS,18464,532.8613,0.0289,0.0086
6,Expert Training: Autoformer,18464,1037331.7318,56.1813,1.4206
6,Expert Training: NHITS,18464,73597.1318,3.986,0.4636
6,Expert Training: NODE,18464,4983.1542,0.2699,3.0721
6,Expert Training: XGBoost,18464,745.1754,0.0404,0.0438
7,Expert Forecasting: AutoARIMA,22180,9.0461,0.0004,0.0
7,Expert Forecasting: AutoETS,22180,1.11,0.0001,0.0
7,Expert Forecasting: Autoformer,22180,15849.0375,0.7146,0.2974
7,Expert Forecasting: NHITS,22180,14092.2198,0.6354,0.2979
7,Expert Forecasting: NODE,22180,1203.1849,0.0542,0.0068
7,Expert Forecasting: XGBoost,22180,51.2042,0.0023,0.0015
7,Expert Training: AutoARIMA,22180,9915.6103,0.4471,0.2681
7,Expert Training: AutoETS,22180,647.005,0.0292,0.0085
7,Expert Training: Autoformer,22180,1240704.4587,55.938,1.5157
7,Expert Training: NHITS,22180,89963.5882,4.0561,0.496
7,Expert Training: NODE,22180,6034.8987,0.2721,2.8029
7,Expert Training: XGBoost,22180,902.5042,0.0407,0.0401
