id,model,rmse,horizon,context,eta,dataset
4,Autoformer,,5,12,10,.
8,Autoformer,,5,12,10,.
6,Autoformer,,5,12,10,.
1,Autoformer,,5,12,10,.
5,Autoformer,,5,12,10,.
6,Autoformer,,5,24,10,.
1,Autoformer,,5,24,10,.
5,Autoformer,,5,24,10,.
7,NODE,23.791535986405993,2,12,10,.
7,ARIMA,46.09606152029796,2,12,10,.
7,XGBoost,63.82905697267464,2,12,10,.
7,NHITS,58.06348341158899,2,12,10,.
7,ETS,33.69045502112326,2,12,10,.
7,HBML (c),44.09478487120565,2,12,10,.
7,HBML (d),39.8954331440913,2,12,10,.
7,HBML (fd),40.46070833365453,2,12,10,.
7,HBML-SFH,24.804168774824344,2,12,10,.
7,HBML-SFHDF,24.04025213536144,2,12,10,.
7,NODE,24.15551392452016,2,full,10,.
7,ARIMA,51.88774858687987,2,full,10,.
7,XGBoost,68.01056118371865,2,full,10,.
7,NHITS,16.91480594255171,2,full,10,.
7,Autoformer,,2,full,10,.
3,Autoformer,,2,full,10,.
6,Autoformer,,2,full,10,.
1,Autoformer,,2,full,10,.
7,ETS,42.43509266247826,2,full,10,.
7,HBML (c),,2,full,10,.
7,HBML (d),,2,full,10,.
7,HBML (fd),,2,full,10,.
7,HBML-SFH,29.850944163133075,2,full,10,.
7,HBML-SFHDF,18.103061043836217,2,full,10,.
7,NODE,24.997116443649368,2,24,10,.
7,ARIMA,34.095841156877235,2,24,10,.
7,XGBoost,58.2527879230767,2,24,10,.
7,NHITS,16.066461792390253,2,24,10,.
7,Autoformer,,2,24,10,.
3,Autoformer,,2,24,10,.
9,Autoformer,,2,24,10,.
8,Autoformer,,2,24,10,.
2,Autoformer,,2,24,10,.
6,Autoformer,,2,24,10,.
1,Autoformer,,2,24,10,.
5,Autoformer,,2,24,10,.
7,ETS,31.85374033654047,2,24,10,.
7,HBML (c),,2,24,10,.
7,HBML (d),,2,24,10,.
7,HBML (fd),,2,24,10,.
7,HBML-SFH,16.600449785247786,2,24,10,.
7,HBML-SFHDF,16.14855523790009,2,24,10,.
7,NODE,21.47842384677983,2,6,10,.
7,ARIMA,64.64335223757415,2,6,10,.
7,XGBoost,55.509614410171835,2,6,10,.
7,NHITS,59.872967205050465,2,6,10,.
7,ETS,44.92824827074531,2,6,10,.
7,HBML (c),50.16327822272413,2,6,10,.
7,HBML (d),44.76161835082224,2,6,10,.
7,HBML (fd),47.67305246456992,2,6,10,.
7,HBML-SFH,22.478738445309354,2,6,10,.
7,HBML-SFHDF,21.55296739026827,2,6,10,.
7,Autoformer,,2,6,10,.
3,Autoformer,,2,6,10,.
9,Autoformer,,2,6,10,.
8,Autoformer,,2,6,10,.
2,Autoformer,,2,6,10,.
6,Autoformer,,2,6,10,.
1,Autoformer,,2,6,10,.
5,Autoformer,,2,6,10,.
7,NODE,13.042137794393843,half,12,10,.
7,ARIMA,30.46217541092394,half,12,10,.
7,XGBoost,31.414214976358267,half,12,10,.
7,NHITS,26.192387283607093,half,12,10,.
7,Autoformer,,half,12,10,.
3,Autoformer,,half,12,10,.
9,Autoformer,,half,12,10,.
6,Autoformer,,half,12,10,.
1,Autoformer,,half,12,10,.
7,ETS,29.305626670120343,half,12,10,.
7,HBML (c),,half,12,10,.
7,HBML (d),,half,12,10,.
7,HBML (fd),,half,12,10,.
7,HBML-SFH,27.414770214268575,half,12,10,.
7,HBML-SFHDF,16.338278616885386,half,12,10,.
7,NODE,13.066336438274003,half,full,10,.
7,ARIMA,30.176629104913367,half,full,10,.
7,XGBoost,31.98481457479765,half,full,10,.
7,NHITS,26.781201150378212,half,full,10,.
7,Autoformer,,half,full,10,.
3,Autoformer,,half,full,10,.
9,Autoformer,,half,full,10,.
6,Autoformer,,half,full,10,.
1,Autoformer,,half,full,10,.
7,ETS,28.738377775861725,half,full,10,.
7,HBML (c),,half,full,10,.
7,HBML (d),,half,full,10,.
7,HBML (fd),,half,full,10,.
7,HBML-SFH,23.313301940293652,half,full,10,.
7,HBML-SFHDF,13.8406449705228,half,full,10,.
7,NODE,13.231247371640348,half,24,10,.
7,ARIMA,28.519380986586103,half,24,10,.
7,XGBoost,25.305507960468223,half,24,10,.
7,NHITS,27.364976908779035,half,24,10,.
7,Autoformer,,half,24,10,.
3,Autoformer,,half,24,10,.
9,Autoformer,,half,24,10,.
6,Autoformer,,half,24,10,.
1,Autoformer,,half,24,10,.
7,ETS,28.66176398374973,half,24,10,.
7,HBML (c),,half,24,10,.
7,HBML (d),,half,24,10,.
7,HBML (fd),,half,24,10,.
7,HBML-SFH,1235.944139020115,half,24,10,.
7,HBML-SFHDF,139.78966606046575,half,24,10,.
7,NODE,13.0578068645495,half,6,10,.
7,ARIMA,32.28106945449835,half,6,10,.
7,XGBoost,33.914873636609144,half,6,10,.
7,NHITS,27.35073897619608,half,6,10,.
7,Autoformer,,half,6,10,.
3,Autoformer,,half,6,10,.
9,Autoformer,,half,6,10,.
6,Autoformer,,half,6,10,.
1,Autoformer,,half,6,10,.
7,ETS,30.78402738859757,half,6,10,.
7,HBML (c),,half,6,10,.
7,HBML (d),,half,6,10,.
7,HBML (fd),,half,6,10,.
7,HBML-SFH,28.519218265709323,half,6,10,.
7,HBML-SFHDF,16.809904269744813,half,6,10,.
4,NODE,35.66715725202617,5,12,10,.
10,NODE,36.90112972974778,5,12,10,.
3,NODE,35.78439339766892,5,12,10,.
9,NODE,37.23368923861935,5,12,10,.
8,NODE,36.41643126774445,5,12,10,.
2,NODE,36.39819923322902,5,12,10,.
6,NODE,35.108211898528964,5,12,10,.
11,NODE,36.431666482315904,5,12,10,.
1,NODE,36.05424944153779,5,12,10,.
5,NODE,38.415483084888464,5,12,10,.
4,ARIMA,23.966332437634943,5,12,10,.
10,ARIMA,22.292945173156873,5,12,10,.
3,ARIMA,115.42115913010409,5,12,10,.
9,ARIMA,43.79519677512366,5,12,10,.
8,ARIMA,58.565683626448525,5,12,10,.
2,ARIMA,50.61055813169624,5,12,10,.
6,ARIMA,44.892052891418345,5,12,10,.
11,ARIMA,39.23412469123714,5,12,10,.
1,ARIMA,18.424906912492578,5,12,10,.
5,ARIMA,93.00226417451148,5,12,10,.
4,XGBoost,26.77075662162002,5,12,10,.
10,XGBoost,30.538271348178647,5,12,10,.
3,XGBoost,38.137553844416566,5,12,10,.
9,XGBoost,37.45219262714656,5,12,10,.
8,XGBoost,33.96986361554332,5,12,10,.
2,XGBoost,33.28963823254136,5,12,10,.
6,XGBoost,25.248856209929013,5,12,10,.
11,XGBoost,29.76483922187149,5,12,10,.
1,XGBoost,22.196203189169537,5,12,10,.
5,XGBoost,46.98187596850057,5,12,10,.
4,NHITS,22.887479666794125,5,12,10,.
10,NHITS,25.43338527049798,5,12,10,.
3,NHITS,29.740601980649068,5,12,10,.
9,NHITS,35.20708081493237,5,12,10,.
8,NHITS,34.37831238303439,5,12,10,.
2,NHITS,27.205160217179465,5,12,10,.
6,NHITS,22.31671657740695,5,12,10,.
